Zeit [h]	Tf [C]	Heizleistung [W]	Massenstrom [kg/s]
12.13333333	20.55	5265	0.364444444
12.15	20.55	5258	0.363888889
12.16666667	20.55	5303	0.367222222
12.18333333	20.55	5396	0.365
12.2	20.6	5409	0.368888889
12.21666667	20.55	5317	0.365833333
12.23333333	20.65	5330	0.364722222
12.25	20.6	5328	0.365555556
12.26666667	20.55	5159	0.3675
12.28333333	20.65	5318	0.363055556
12.3	20.6	5184	0.367222222
12.31666667	20.6	5342	0.363611111
12.33333333	20.55	5305	0.363888889
12.35	20.65	5340	0.365555556
12.36666667	20.65	5387	0.365277778
12.38333333	20.6	5330	0.365833333
12.4	20.6	5295	0.366388889
12.41666667	20.55	5222	0.362777778
12.43333333	20.6	5212	0.365
12.45	20.6	5350	0.367222222
12.46666667	20.65	5312	0.364722222
12.48333333	20.55	5318	0.364722222
12.5	20.6	5276	0.367222222
12.51666667	20.55	5193	0.363611111
12.53333333	20.55	5237	0.364444444
12.55	20.65	5272	0.362777778
12.56666667	20.6	5247	0.365277778
12.58333333	20.65	5361	0.365833333
12.6	20.6	5166	0.365
12.61666667	20.6	5338	0.362222222
12.63333333	20.6	5266	0.363333333
12.65	20.6	5305	0.365277778
12.66666667	20.55	5341	0.364444444
12.68333333	20.6	5251	0.365555556
12.7	20.6	5300	0.365833333
12.71666667	20.65	5266	0.366666667
12.73333333	20.6	5409	0.368055556
12.75	20.6	5430	0.366388889
